ax,ay,bx,by
86,154,135,148
301,273,305,225
436,132,391,113
607,326,564,344
981,815,963,773
834,920,798,895
804,436,830,394
584,567,626,587
407,486,365,507
49,561,90,537
142,877,173,911
55,1590,87,1624
1187,1478,1145,1501
1063,1168,1034,1129
836,1052,820,1092
