ax,ay,bx,by
195,192,152,163
453,119,406,119
1053,103,1100,87
968,375,1013,359
1154,434,1156,388
885,388,927,371
757,427,726,457
607,440,579,473
22,700,25,746
472,672,463,713
979,744,1002,785
1166,1122,1170,1078
1103,1378,1057,1397
885,1126,841,1120
778,1055,814,1030
46,1479,89,1459
49,1659,48,1610
812,1558,818,1607
1085,1259,1044,1279
